name_of_img,genre,species,sexe,family,1,2,3,4,8,12,14,9_11,5_13_15,6_7
Melanerpes_uropygialis_2_M_Back_Vis_G188638.png,Melanerpes,melanerpes uropygialis,M,picidae,1.4,0.0,76.5,0.0,0.0,0.0,22.1,0.0,0.0,0.0
Galbalcyrhynchus_leucotis_2_M_Back_Vis_G177418.png,Galbalcyrhynchus,galbalcyrhynchus leucotis,M,galbulidae,86.9,0.0,0.0,0.0,0.0,0.0,5.5,0.0,7.6,0.0
Falco_naumanni_1_M_Back_Vis_Y096015.png,Falco,falco naumanni,M,falconidae,0.0,0.0,0.0,12.9,2.3,0.0,84.8,0.0,0.0,0.1
Todirostrum_poliocephalum_3_M_Back_Vis_G045158.png,Todirostrum,todirostrum poliocephalum,M,tyrannidae,70.4,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0
Hymenops_perspicillatus_2_M_Back_Vis_G051085.png,Hymenops,hymenops perspicillatus,M,tyrannidae,0.0,0.0,11.4,42.7,0.0,0.0,25.2,0.0,20.7,0.0
Cypsnagra_hirundinacea_2_M_Back_Vis_G064786.png,Cypsnagra,cypsnagra hirundinacea,M,thraupidae,0.0,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harpactes_wardi_3_M_Back_Vis_Y073551.png,Harpactes,harpactes wardi,M,trogonidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chaetura_brachyura_1_M_Back_Vis_G193343.png,Chaetura,chaetura brachyura,M,apodidae,74.9,0.0,10.9,0.0,0.0,0.0,14.2,0.0,0.0,0.0
Patagioenas_nigrirostris_5_F_Back_Vis_G212804.png,Patagioenas,patagioenas nigrirostris,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanerpes_caeruleus_6_F_Back_Vis_G070927.png,Cyanerpes,cyanerpes caeruleus,F,thraupidae,95.2,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0
Pinarocorys_erythropygia_5_F_Back_Vis_G085269.png,Pinarocorys,pinarocorys erythropygia,F,alaudidae,0.0,81.2,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0
Toxostoma_bendirei_1_M_Back_Vis_G058245.png,Toxostoma,toxostoma bendirei,M,mimidae,0.0,0.0,84.8,12.0,3.2,0.0,0.0,0.0,0.0,0.0
Erythrura_prasina_2_M_Back_Vis_G157659.png,Erythrura,erythrura prasina,M,estrildidae,98.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudoleistes_virescens_6_F_Back_Vis_G056620.png,Pseudoleistes,pseudoleistes virescens,F,icteridae,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,46.2,0.0
Lonchura_molucca_6_F_Back_Vis_G158327.png,Lonchura,lonchura molucca,F,estrildidae,54.6,0.0,9.3,0.5,0.0,0.0,35.6,0.0,0.0,0.0
Passerina_cyanea_4_F_Back_Vis_G084462.png,Passerina,passerina cyanea,F,cardinalidae,76.6,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carpodacus_mexicanus_4_F_Back_Vis_G095114.png,Carpodacus,carpodacus mexicanus,F,fringillidae,0.0,0.0,32.4,9.5,0.0,0.0,58.1,0.0,0.0,0.0
Daphoenositta_chrysoptera_1_M_Back_Vis_G171359.png,Daphoenositta,daphoenositta chrysoptera,M,neosittidae,88.3,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thripadectes_flammulatus_3_M_Back_Vis_G104907.png,Thripadectes,thripadectes flammulatus,M,furnariidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Columba_elphinstonii_4_F_Back_Vis_G211301.png,Columba,columba elphinstonii,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charmosyna_placentis_4_F_Back_Vis_G113968.png,Charmosyna,charmosyna placentis,F,psittacidae,85.0,0.2,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0
Campylorhamphus_falcularius_2_M_Back_Vis_G059556.png,Campylorhamphus,campylorhamphus falcularius,M,furnariidae,89.6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psophocichla_litsitsirupa_3_M_Back_Vis_G182775.png,Psophocichla,psophocichla litsitsirupa,M,turdidae,8.0,0.0,42.2,22.9,0.0,0.0,26.9,0.0,0.0,0.0
Baeolophus_atricristatus_3_M_Back_Vis_G092060.png,Baeolophus,baeolophus atricristatus,M,paridae,50.7,0.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spindalis_zena_6_F_Back_Vis_G066690.png,Spindalis,spindalis zena,F,spindalidae,68.1,0.0,17.4,0.0,0.0,0.0,14.4,0.0,0.0,0.0
Tiaris_bicolor_5_F_Back_Vis_G083796.png,Tiaris,tiaris bicolor,F,thraupidae,31.8,0.0,23.9,1.7,0.0,0.0,42.6,0.0,0.0,0.0
Porphyrolaema_porphyrolaema_1_M_Back_Vis_G040056.png,Porphyrolaema,porphyrolaema porphyrolaema,M,cotingidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scolopax_rusticola_6_F_Back_Vis_Y078199.png,Scolopax,scolopax rusticola,F,scolopacidae,25.1,0.0,12.1,0.0,0.0,0.0,62.8,0.0,0.0,0.0
Catharus_gracilirostris_1_M_Back_Vis_G182318.png,Catharus,catharus gracilirostris,M,turdidae,72.7,0.0,15.5,0.0,0.0,0.0,11.8,0.0,0.0,0.0
Grallaricula_flavirostris_2_F_Back_Vis_G176531.png,Grallaricula,grallaricula flavirostris,F,grallariidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ploceus_taeniopterus_5_F_Back_Vis_G161335.png,Ploceus,ploceus taeniopterus,F,ploceidae,0.0,40.2,0.0,0.1,0.0,0.0,0.0,0.0,59.7,0.0
Todiramphus_diops_6_F_Back_Vis_G180116.png,Todiramphus,todiramphus diops,F,alcedinidae,72.5,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0
Phalacrocorax_chalconotus_2_F_Back_Vis_G227580.png,Phalacrocorax,phalacrocorax chalconotus,F,phalacrocoracidae,0.0,0.0,0.0,0.0,0.0,0.7,0.0,99.3,0.0,0.0
Tockus_fasciatus_5_F_Back_Vis_G216815.png,Tockus,tockus fasciatus,F,bucerotidae,92.7,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0
Lonchura_striata_5_F_Back_Vis_G158219.png,Lonchura,lonchura striata,F,estrildidae,32.1,10.3,6.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0
Triclaria_malachitacea_1_M_Back_Vis_Y051594.png,Triclaria,triclaria malachitacea,M,psittacidae,86.5,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0
Nectarinia_balfouri_5_F_Back_Vis_G164754.png,Nectarinia,nectarinia balfouri,F,nectariniidae,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psarocolius_wagleri_4_F_Back_Vis_G054915.png,Psarocolius,psarocolius wagleri,F,icteridae,78.9,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0
Aulacorhynchus_sulcatus_4_F_Back_Vis_Y071491.png,Aulacorhynchus,aulacorhynchus sulcatus,F,ramphastidae,95.1,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
Zosterops_tenuirostris_1_M_Back_Vis_G170795.png,Zosterops,zosterops tenuirostris,M,zosteropidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lybius_rubrifacies_4_F_Back_Vis_G186423.png,Lybius,lybius rubrifacies,F,lybiidae,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pellorneum_fuscocapillus_1_M_Back_Vis_G139899.png,Pellorneum,pellorneum fuscocapillus,M,pellorneidae,58.7,0.0,2.3,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Meliphaga_gracilis_6_F_Back_Vis_Y067795.png,Meliphaga,meliphaga gracilis,F,meliphagidae,86.3,11.7,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0
Picus_vittatus_2_M_Back_Vis_G191154.png,Picus,picus vittatus,M,picidae,65.8,0.0,6.8,0.0,0.0,0.0,27.4,0.0,0.0,0.0
Trogon_bairdii_1_M_Back_Vis_Y072801.png,Trogon,trogon bairdii,M,trogonidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larus_argentatus_4_F_Back_Vis_Y095505.png,Larus,larus argentatus,F,laridae,0.0,0.0,0.0,0.0,0.0,4.1,67.8,15.1,13.0,0.0
Piranga_olivacea_2_M_Back_Vis_G060018.png,Piranga,piranga olivacea,M,cardinalidae,86.1,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0
Pterocles_burchelli_5_F_Back_Vis_G203024.png,Pterocles,pterocles burchelli,F,pteroclidae,0.0,58.8,27.8,12.7,0.0,0.0,0.0,0.0,0.7,0.0
Leptoptilos_crumeniferus_3_M_Back_Vis_Y099809.png,Leptoptilos,leptoptilos crumeniferus,M,ciconiidae,0.0,66.0,0.0,3.8,0.0,0.0,20.2,0.0,10.1,0.0
Picus_squamatus_1_M_Back_Vis_G191958.png,Picus,picus squamatus,M,picidae,53.5,0.0,13.9,0.0,0.0,0.0,32.5,0.0,0.0,0.0
Tachycineta_leucorrhoa_2_M_Back_Vis_G078873.png,Tachycineta,tachycineta leucorrhoa,M,hirundinidae,9.4,33.0,0.0,20.2,0.0,0.1,25.2,0.0,11.9,0.0
Niltava_sumatrana_6_F_Back_Vis_G130411.png,Niltava,niltava sumatrana,F,muscicapidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangsia_edwardsi_1_M_Back_Vis_G067047.png,Bangsia,bangsia edwardsi,M,thraupidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collocalia_mearnsi_4_F_Back_Vis_G192448.png,Collocalia,collocalia mearnsi,F,apodidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abroscopus_schisticeps_6_F_Back_Vis_G122267.png,Abroscopus,abroscopus schisticeps,F,scotocercidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanerpes_cyaneus_1_M_Back_Vis_G070933.png,Cyanerpes,cyanerpes cyaneus,M,thraupidae,68.3,4.1,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0
Cinnyricinclus_leucogaster_5_F_Back_Vis_G136342.png,Cinnyricinclus,cinnyricinclus leucogaster,F,sturnidae,10.9,66.4,7.6,0.0,0.0,0.0,12.7,0.0,2.3,0.0
Carpodacus_rhodochlamys_3_M_Back_Vis_G095477.png,Carpodacus,carpodacus rhodochlamys,M,fringillidae,0.0,0.0,14.8,77.2,0.0,0.0,8.0,0.0,0.0,0.0
Grus_paradisea_3_U_Back_Vis_Y100309.png,Grus,grus paradisea,U,gruidae,0.0,0.0,0.0,63.0,0.0,0.4,34.6,0.0,1.9,0.0
Dicaeum_chrysorrheum_2_M_Back_Vis_G168553.png,Dicaeum,dicaeum chrysorrheum,M,dicaeidae,84.1,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0
Bombycilla_cedrorum_6_F_Back_Vis_G072871.png,Bombycilla,bombycilla cedrorum,F,bombycillidae,64.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,6.1,0.0
Melanocorypha_calandra_2_M_Back_Vis_G086066.png,Melanocorypha,melanocorypha calandra,M,alaudidae,0.0,0.0,0.0,13.4,0.0,0.0,86.6,0.0,0.0,0.0
Strix_virgata_4_F_Back_Vis_Y093548.png,Strix,strix virgata,F,strigidae,71.6,0.0,8.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0
Athene_brama_6_F_Back_Vis_Y091924.png,Athene,athene brama,F,strigidae,0.0,0.0,0.0,0.0,0.9,0.0,99.1,0.0,0.0,0.0
Synallaxis_erythrothorax_2_F_Back_Vis_G102911.png,Synallaxis,synallaxis erythrothorax,F,furnariidae,69.2,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,0.0
Cuculus_pallidus_6_F_Back_Vis_G204642.png,Cuculus,cuculus pallidus,F,cuculidae,42.1,0.0,26.8,0.0,0.0,0.0,31.2,0.0,0.0,0.0
Anthreptes_longuemarei_3_M_Back_Vis_G163880.png,Anthreptes,anthreptes longuemarei,M,nectariniidae,35.4,63.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
Aphelocoma_unicolor_3_M_Back_Vis_Y052805.png,Aphelocoma,aphelocoma unicolor,M,corvidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apalis_argentea_4_F_Back_Vis_G150852.png,Apalis,apalis argentea,F,cisticolidae,90.3,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0
Estrilda_quartinia_2_M_Back_Vis_G156556.png,Estrilda,estrilda quartinia,M,estrildidae,0.0,0.0,93.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0
Prionops_scopifrons_3_M_Back_Vis_Y063918.png,Prionops,prionops scopifrons,M,vangidae,78.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andigena_laminirostris_4_F_Back_Vis_Y072277.png,Andigena,andigena laminirostris,F,ramphastidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chlamydotis_undulata_1_M_Back_Vis_G224088.png,Chlamydotis,chlamydotis undulata,M,otididae,0.0,0.0,0.0,26.3,73.7,0.0,0.0,0.0,0.0,0.0
Columba_palumboides_2_M_Back_Vis_G211385.png,Columba,columba palumboides,M,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pericrocotus_cantonensis_3_M_Back_Vis_Y061413.png,Pericrocotus,pericrocotus cantonensis,M,campephagidae,72.1,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ficedula_hypoleuca_5_F_Back_Vis_G111252.png,Ficedula,ficedula hypoleuca,F,muscicapidae,31.3,0.0,0.0,0.0,0.0,0.0,68.7,0.0,0.0,0.0
Dacelo_novaeguineae_5_F_Back_Vis_Y071863.png,Dacelo,dacelo novaeguineae,F,alcedinidae,63.0,0.0,0.0,0.0,0.0,0.0,34.4,0.0,2.6,0.0
Chalcopsitta_sintillata_4_F_Back_Vis_G112419.png,Chalcopsitta,chalcopsitta sintillata,F,psittacidae,84.6,0.7,0.0,0.0,0.0,0.0,11.9,0.0,2.8,0.0
Basileuterus_leucophrys_3_M_Back_Vis_G234381.png,Basileuterus,basileuterus leucophrys,M,parulidae,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0
Saxicola_rubetra_6_F_Back_Vis_G133990.png,Saxicola,saxicola rubetra,F,muscicapidae,9.6,0.0,12.7,8.4,0.0,0.0,69.3,0.0,0.0,0.0
Oryzoborus_angolensis_2_M_Back_Vis_G083564.png,Oryzoborus,oryzoborus angolensis,M,thraupidae,75.9,0.0,10.3,0.0,0.0,0.0,13.8,0.0,0.0,0.0
Carpornis_cucullata_5_F_Back_Vis_G039355.png,Carpornis,carpornis cucullata,F,cotingidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclarhis_gujanensis_4_F_Back_Vis_G053587.png,Cyclarhis,cyclarhis gujanensis,F,vireonidae,44.3,26.7,7.4,0.0,0.0,0.0,21.6,0.0,0.0,0.0
Pytilia_melba_3_M_Back_Vis_G155454.png,Pytilia,pytilia melba,M,estrildidae,0.0,88.3,9.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Cisticola_troglodytes_6_F_Back_Vis_G148173.png,Cisticola,cisticola troglodytes,F,cisticolidae,2.7,93.7,2.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0
Chalcostigma_stanleyi_1_M_Back_Vis_Y083055.png,Chalcostigma,chalcostigma stanleyi,M,trochilidae,4.2,0.0,4.5,91.3,0.0,0.0,0.0,0.0,0.0,0.0
Neomorphus_geoffroyi_2_U_Back_Vis_G208662.png,Neomorphus,neomorphus geoffroyi,U,cuculidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dendrocopos_obsoletus_1_M_Back_Vis_Y074242.png,Dendrocopos,dendrocopos obsoletus,M,picidae,11.2,73.4,2.5,0.7,0.0,0.0,12.2,0.0,0.0,0.0
Saxicola_macrorhynchus_4_F_Back_Vis_G134014.png,Saxicola,saxicola macrorhynchus,F,muscicapidae,0.0,0.0,6.0,14.1,79.9,0.0,0.0,0.0,0.0,0.0
Laniocera_hypopyrra_3_M_Back_Vis_G037404.png,Laniocera,laniocera hypopyrra,M,tityridae,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerygone_inornata_1_M_Back_Vis_G126540.png,Gerygone,gerygone inornata,M,acanthizidae,50.0,39.2,1.4,0.0,0.0,0.0,9.4,0.0,0.0,0.0
Geothlypis_beldingi_6_F_Back_Vis_G062975.png,Geothlypis,geothlypis beldingi,F,parulidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Lamprotornis_nitens_4_F_Back_Vis_G110649.png,Lamprotornis,lamprotornis nitens,F,sturnidae,0.0,59.8,12.0,15.8,0.0,0.0,11.1,0.0,1.4,0.0
Pycnonotus_luteolus_5_F_Back_Vis_G098058.png,Pycnonotus,pycnonotus luteolus,F,pycnonotidae,26.6,0.0,3.8,0.0,0.0,0.0,69.6,0.0,0.0,0.0
Lepidocolaptes_angustirostris_1_M_Back_Vis_G059424.png,Lepidocolaptes,lepidocolaptes angustirostris,M,furnariidae,23.6,53.1,6.2,0.0,0.0,0.0,17.1,0.0,0.0,0.0
Pseudocolopteryx_flaviventris_5_F_Back_Vis_G047237.png,Pseudocolopteryx,pseudocolopteryx flaviventris,F,tyrannidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Strix_rufipes_2_M_Back_Vis_Y093506.png,Strix,strix rufipes,M,strigidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recurvirostra_avosetta_5_F_Back_Vis_Y098682.png,Recurvirostra,recurvirostra avosetta,F,recurvirostridae,0.0,0.0,0.0,22.3,0.0,5.8,0.0,0.0,71.9,0.0
Cissa_chinensis_3_M_Back_Vis_Y053355.png,Cissa,cissa chinensis,M,corvidae,97.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Thaumastura_cora_3_M_Back_Vis_Y083709.png,Thaumastura,thaumastura cora,M,trochilidae,0.0,0.0,70.7,0.0,0.0,0.0,29.3,0.0,0.0,0.0
Rhodospingus_cruentus_5_F_Back_Vis_G077852.png,Rhodospingus,rhodospingus cruentus,F,thraupidae,78.9,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hylacola_cauta_1_M_Back_Vis_G126018.png,Hylacola,hylacola cauta,M,acanthizidae,0.0,0.5,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todirostrum_cinereum_2_M_Back_Vis_G045184.png,Todirostrum,todirostrum cinereum,M,tyrannidae,35.0,14.6,14.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0
Cichladusa_ruficauda_6_F_Back_Vis_G132389.png,Cichladusa,cichladusa ruficauda,F,muscicapidae,9.4,54.3,12.2,0.0,0.0,0.0,24.2,0.0,0.0,0.0
Lepidocolaptes_affinis_6_F_Back_Vis_G059472.png,Lepidocolaptes,lepidocolaptes affinis,F,furnariidae,91.6,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0
Haematopus_ater_2_M_Back_Vis_Y101195.png,Haematopus,haematopus ater,M,haematopodidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Heliornis_fulica_5_F_Back_Vis_G215440.png,Heliornis,heliornis fulica,F,heliornithidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Phaethornis_guy_3_M_Back_Vis_G197635.png,Phaethornis,phaethornis guy,M,trochilidae,72.4,0.0,11.6,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Porzana_flaviventer_2_M_Back_Vis_G203587.png,Porzana,porzana flaviventer,M,rallidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Nyctibius_bracteatus_1_U_Back_Vis_Y094640.png,Nyctibius,nyctibius bracteatus,U,nyctibiidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hirundo_aethiopica_1_M_Back_Vis_G079937.png,Hirundo,hirundo aethiopica,M,hirundinidae,0.0,57.7,11.1,4.4,0.0,0.0,20.5,0.6,5.7,0.0
Ploceus_benghalensis_1_M_Back_Vis_G162000.png,Ploceus,ploceus benghalensis,M,ploceidae,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,96.5,0.0
Chalcophaps_indica_2_M_Back_Vis_G211862.png,Chalcophaps,chalcophaps indica,M,columbidae,70.7,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0
Monticola_rupestris_3_M_Back_Vis_G127568.png,Monticola,monticola rupestris,M,muscicapidae,0.0,0.0,11.7,77.5,0.0,0.0,10.8,0.0,0.0,0.0
Eurypyga_helias_3_M_Back_Vis_G215175.png,Eurypyga,eurypyga helias,M,eurypygidae,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
Loxops_coccineus_1_M_Back_Vis_G096688.png,Loxops,loxops coccineus,M,fringillidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carduelis_atriceps_3_M_Back_Vis_G093858.png,Carduelis,carduelis atriceps,M,fringillidae,61.3,0.0,24.2,0.0,0.0,0.0,14.6,0.0,0.0,0.0
Thryothorus_semibadius_5_F_Back_Vis_G036670.png,Thryothorus,thryothorus semibadius,F,troglodytidae,79.2,0.0,16.6,0.0,0.0,0.0,0.0,0.0,4.2,0.0
Chiroxiphia_lanceolata_1_M_Back_Vis_G041644.png,Chiroxiphia,chiroxiphia lanceolata,M,pipridae,83.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacamerops_aureus_2_M_Back_Vis_G177939.png,Jacamerops,jacamerops aureus,M,galbulidae,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
Calorhamphus_fuliginosus_3_M_Back_Vis_G185413.png,Calorhamphus,calorhamphus fuliginosus,M,megalaimidae,87.3,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0
Porzana_atra_1_M_Back_Vis_G203563.png,Porzana,porzana atra,M,rallidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydropsalis_climacocerca_5_F_Back_Vis_G210585.png,Hydropsalis,hydropsalis climacocerca,F,caprimulgidae,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,74.5,0.0
Calocitta_formosa_6_F_Back_Vis_Y054583.png,Calocitta,calocitta formosa,F,corvidae,41.1,0.0,5.0,0.0,0.0,0.0,53.8,0.0,0.0,0.0
Sclerurus_caudacutus_4_F_Back_Vis_G105129.png,Sclerurus,sclerurus caudacutus,F,furnariidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passer_iagoensis_6_F_Back_Vis_G153690.png,Passer,passer iagoensis,F,passeridae,0.0,0.0,37.6,29.5,0.0,0.0,32.9,0.0,0.0,0.0
