"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Dicaeum australe";"Dicaeum australe";"PASSERIFORMES";"Dicaeidae";"Red-keeled Flowerpecker";"Dicaeum australe"
"Rallina eurizonoides";"Rallina eurizonoides";"GRUIFORMES";"Rallidae";"Slaty-legged Crake";"Rallina eurizonoides"
"Myadestes obscurus";"Myadestes obscurus";"PASSERIFORMES";"Turdidae";"Omao";"Myadestes obscurus"
"Panyptila cayennensis";"Panyptila cayennensis";"CAPRIMULGIFORMES";"Apodidae";"Lesser Swallow-tailed Swift";"Panyptila cayennensis"
"Lichenostomus leucotis";"Nesoptilotis leucotis";"PASSERIFORMES";"Meliphagidae";"White-eared Honeyeater";"Nesoptilotis leucotis"
"Myrmotherula minor";"Myrmotherula minor";"PASSERIFORMES";"Thamnophilidae";"Salvadori's Antwren";"Myrmotherula minor"
"Hemignathus flavus";"Chlorodrepanis flava";"PASSERIFORMES";"Fringillidae";"Oahu Amakihi";"Chlorodrepanis flava"
"Pterocles lichtensteinii";"Pterocles lichtensteinii";"PTEROCLIFORMES";"Pteroclidae";"Lichtenstein's Sandgrouse";"Pterocles lichtensteinii"
"Dendrocincla merula";"Dendrocincla merula";"PASSERIFORMES";"Furnariidae";"White-chinned Woodcreeper";"Dendrocincla merula"
"Garrulax elliotii";"Trochalopteron elliotii";"PASSERIFORMES";"Leiothrichidae";"Elliot's Laughingthrush";"Trochalopteron elliotii"
"Euplectes albonotatus";"Euplectes albonotatus";"PASSERIFORMES";"Ploceidae";"White-winged Widowbird";"Euplectes albonotatus"
"Quelea cardinalis";"Quelea cardinalis";"PASSERIFORMES";"Ploceidae";"Cardinal Quelea";"Quelea cardinalis"
"Pionus chalcopterus";"Pionus chalcopterus";"PSITTACIFORMES";"Psittacidae";"Bronze-winged Parrot";"Pionus chalcopterus"
"Drymophila squamata";"Drymophila squamata";"PASSERIFORMES";"Thamnophilidae";"Scaled Antbird";"Drymophila squamata"
"Microeca papuana";"Devioeca papuana";"PASSERIFORMES";"Petroicidae";"Canary Flyrobin";"Devioeca papuana"
"Indicator variegatus";"Indicator variegatus";"PICIFORMES";"Indicatoridae";"Scaly-throated Honeyguide";"Indicator variegatus"
"Ficedula hodgsonii";"Ficedula erithacus";"PASSERIFORMES";"Muscicapidae";"Slaty-backed Flycatcher";"Ficedula erithacus"
"Cyanolanius madagascarinus";"Cyanolanius madagascarinus";"PASSERIFORMES";"Vangidae";"Madagascar Blue Vanga";"Cyanolanius madagascarinus"
"Apus pallidus";"Apus pallidus";"CAPRIMULGIFORMES";"Apodidae";"Pallid Swift";"Apus pallidus"
"Cochlearius cochlearius";"Cochlearius cochlearius";"PELECANIFORMES";"Ardeidae";"Boat-billed Heron";"Cochlearius cochlearius"
"Andropadus gracilirostris";"Stelgidillas gracilirostris";"PASSERIFORMES";"Pycnonotidae";"Slender-billed Greenbul";"Stelgidillas gracilirostris"
"Nectarinia afra";"Cinnyris afer";"PASSERIFORMES";"Nectariniidae";"Greater Double-collared Sunbird";"Cinnyris afer"
"Ptiloris victoriae";"Lophorina victoriae";"PASSERIFORMES";"Paradisaeidae";"Victoria's Riflebird";"Ptiloris victoriae"
"Alcedo azurea";"Ceyx azureus";"CORACIIFORMES";"Alcedinidae";"Azure Kingfisher";"Ceyx azureus"
"Phylloscopus griseolus";"Phylloscopus griseolus";"PASSERIFORMES";"Phylloscopidae";"Sulphur-bellied Warbler";"Phylloscopus griseolus"
"Meliphaga analoga";"Microptilotis analogus";"PASSERIFORMES";"Meliphagidae";"Mimic Honeyeater";"Meliphaga analoga"
"Aptenodytes forsteri";"Aptenodytes forsteri";"SPHENISCIFORMES";"Spheniscidae";"Emperor Penguin";"Aptenodytes forsteri"
"Spelaeornis formosus";"Elachura formosa";"PASSERIFORMES";"Timaliidae";"Spotted Elachura";"Elachura formosa"
"Bostrychia rara";"Bostrychia rara";"PELECANIFORMES";"Threskiornithidae";"Spot-breasted Ibis";"Bostrychia rara"
"Ixobrychus sinensis";"Ixobrychus sinensis";"PELECANIFORMES";"Ardeidae";"Yellow Bittern";"Botaurus sinensis"
"Hylophylax naevius";"Hylophylax naevius";"PASSERIFORMES";"Thamnophilidae";"Spot-backed Antbird";"Hylophylax naevius"
"Nesillas lantzii";"Nesillas lantzii";"PASSERIFORMES";"Acrocephalidae";"Subdesert Brush-warbler";"Nesillas lantzii"
"Dysithamnus striaticeps";"Dysithamnus striaticeps";"PASSERIFORMES";"Thamnophilidae";"Streak-crowned Antvireo";"Dysithamnus striaticeps"
"Cyanerpes lucidus";"Cyanerpes lucidus";"PASSERIFORMES";"Thraupidae";"Shining Honeycreeper";"Cyanerpes lucidus"
"Myzomela nigrita";"Myzomela nigrita";"PASSERIFORMES";"Meliphagidae";"Papuan Black Myzomela";"Myzomela nigrita"
"Cisticola angusticauda";"Cisticola angusticauda";"PASSERIFORMES";"Cisticolidae";"Tabora Cisticola";"Cisticola angusticauda"
"Ploceus ocularis";"Ploceus ocularis";"PASSERIFORMES";"Ploceidae";"Spectacled Weaver";"Ploceus ocularis"
"Elminia albonotata";"Elminia albonotata";"PASSERIFORMES";"Stenostiridae";"White-tailed Crested-flycatcher";"Elminia albonotata"
"Ploceus cucullatus";"Ploceus cucullatus";"PASSERIFORMES";"Ploceidae";"Village Weaver";"Ploceus cucullatus"
"Cuculus poliocephalus";"Cuculus poliocephalus";"CUCULIFORMES";"Cuculidae";"Lesser Cuckoo";"Cuculus poliocephalus"
"Aethopyga saturata";"Aethopyga saturata";"PASSERIFORMES";"Nectariniidae";"Black-throated Sunbird";"Aethopyga saturata"
"Tangara xanthocephala";"Tangara xanthocephala";"PASSERIFORMES";"Thraupidae";"Saffron-crowned Tanager";"Tangara xanthocephala"
"Centropus senegalensis";"Centropus senegalensis";"CUCULIFORMES";"Cuculidae";"Senegal Coucal";"Centropus senegalensis"
"Kupeornis rufocinctus";"Kupeornis rufocinctus";"PASSERIFORMES";"Leiothrichidae";"Red-collared Mountain-babbler";"Turdoides rufocinctus"
"Syrrhaptes paradoxus";"Syrrhaptes paradoxus";"PTEROCLIFORMES";"Pteroclidae";"Pallas's Sandgrouse";"Syrrhaptes paradoxus"
"Phylloscopus collybita";"Phylloscopus collybita";"PASSERIFORMES";"Phylloscopidae";"Common Chiffchaff";"Phylloscopus collybita"
"Astrapia mayeri";"Astrapia mayeri";"PASSERIFORMES";"Paradisaeidae";"Ribbon-tailed Astrapia";"Astrapia mayeri"
"Vanellus malarbaricus";"Vanellus malabaricus";"CHARADRIIFORMES";"Charadriidae";"Yellow-wattled Lapwing";"Vanellus malabaricus"
"Anthus lutescens";"Anthus chii";"PASSERIFORMES";"Motacillidae";"Yellowish Pipit";"Anthus chii"
"Pycnonotus leucogenys";"Pycnonotus leucogenys";"PASSERIFORMES";"Pycnonotidae";"Himalayan Bulbul";"Pycnonotus leucogenys"
"Callocephalon fimbriatum";"Callocephalon fimbriatum";"PSITTACIFORMES";"Cacatuidae";"Gang-gang Cockatoo";"Callocephalon fimbriatum"
"Pachyramphus homochrous";"Pachyramphus homochrous";"PASSERIFORMES";"Tityridae";"One-colored Becard";"Pachyramphus homochrous"
"Phaenicophaeus superciliosus";"Dasylophus superciliosus";"CUCULIFORMES";"Cuculidae";"Red-crested Malkoha";"Dasylophus superciliosus"
"Coracina longicauda";"Coracina longicauda";"PASSERIFORMES";"Campephagidae";"Hooded Cuckooshrike";"Coracina longicauda"
"Myioborus miniatus";"Myioborus miniatus";"PASSERIFORMES";"Parulidae";"Slate-throated Whitestart";"Myioborus miniatus"
"Poospiza hispaniolensis";"Poospiza hispaniolensis";"PASSERIFORMES";"Thraupidae";"Collared Warbling-finch";"Poospiza hispaniolensis"
"Mimus melanotis";"Mimus melanotis";"PASSERIFORMES";"Mimidae";"San Cristobal Mockingbird";"Mimus melanotis"
"Passer shelleyi";"Passer shelleyi";"PASSERIFORMES";"Passeridae";"White Nile Sparrow";"Passer shelleyi"
"Passerina rositae";"Passerina rositae";"PASSERIFORMES";"Cardinalidae";"Rose-bellied Bunting";"Passerina rositae"
"Aceros waldeni";"Rhabdotorrhinus waldeni";"BUCEROTIFORMES";"Bucerotidae";"Rufous-headed Hornbill";"Rhabdotorrhinus waldeni"
"Vidua paradisaea";"Vidua paradisaea";"PASSERIFORMES";"Viduidae";"Long-tailed Paradise-whydah";"Vidua paradisaea"
"Oceanodroma melania";"Hydrobates melania";"PROCELLARIIFORMES";"Hydrobatidae";"Black Storm-petrel";"Hydrobates melania"
"Monticola imerinus";"Monticola imerina";"PASSERIFORMES";"Muscicapidae";"Littoral Rock-thrush";"Monticola imerina"
"Hyliota australis";"Hyliota australis";"PASSERIFORMES";"Hyliotidae";"Southern Hyliota";"Hyliota australis"
"Dendragapus obscurus";"Dendragapus obscurus";"GALLIFORMES";"Phasianidae";"Dusky Grouse";"Dendragapus obscurus"
"Cercococcyx mechowi";"Cercococcyx mechowi";"CUCULIFORMES";"Cuculidae";"Dusky Long-tailed Cuckoo";"Cercococcyx mechowi"
"Alcedo meninting";"Alcedo meninting";"CORACIIFORMES";"Alcedinidae";"Blue-eared Kingfisher";"Alcedo meninting"
"Hapalopsittaca amazonina";"Hapalopsittaca amazonina";"PSITTACIFORMES";"Psittacidae";"Rusty-faced Parrot";"Hapalopsittaca amazonina"
"Icterus leucopteryx";"Icterus leucopteryx";"PASSERIFORMES";"Icteridae";"Jamaican Oriole";"Icterus leucopteryx"
"Ptilinopus layardi";"Chrysoena viridis";"COLUMBIFORMES";"Columbidae";"Whistling Dove";"Ptilinopus layardi"
"Phaenicophaeus javanicus";"Zanclostomus javanicus";"CUCULIFORMES";"Cuculidae";"Red-billed Malkoha";"Zanclostomus javanicus"
"Atlapetes melanolaemus";"Atlapetes melanolaemus";"PASSERIFORMES";"Passerellidae";"Black-faced Brushfinch";"Atlapetes melanolaemus"
"Chrysolophus amherstiae";"Chrysolophus amherstiae";"GALLIFORMES";"Phasianidae";"Lady Amherst's Pheasant";"Chrysolophus amherstiae"
"Turnix velox";"Turnix velox";"CHARADRIIFORMES";"Turnicidae";"Little Buttonquail";"Turnix velox"
"Erythropygia leucophrys";"Cercotrichas leucophrys";"PASSERIFORMES";"Muscicapidae";"White-browed Scrub-robin";"Cercotrichas leucophrys"
"Calandrella somalica";"Mirafra somalica";"PASSERIFORMES";"Alaudidae";"Somali Lark";"Corypha somalica"
"Ninox rudolfi";"Ninox rudolfi";"STRIGIFORMES";"Strigidae";"Sumba Boobook";"Ninox rudolfi"
"Pycnonotus eutilotus";"Euptilotus eutilotus";"PASSERIFORMES";"Pycnonotidae";"Puff-backed Bulbul";"Microtarsus eutilotus"
"Catharus occidentalis";"Catharus occidentalis";"PASSERIFORMES";"Turdidae";"Russet Nightingale-thrush";"Catharus occidentalis"
"Oenanthe finschii";"Oenanthe finschii";"PASSERIFORMES";"Muscicapidae";"Finsch's Wheatear";"Oenanthe finschii"
"Dryoscopus gambensis";"Dryoscopus gambensis";"PASSERIFORMES";"Malaconotidae";"Northern Puffback";"Dryoscopus gambensis"
"Chlorospingus pileatus";"Chlorospingus pileatus";"PASSERIFORMES";"Passerellidae";"Sooty-capped Chlorospingus";"Chlorospingus pileatus"
"Myadestes unicolor";"Myadestes unicolor";"PASSERIFORMES";"Turdidae";"Slate-colored Solitaire";"Myadestes unicolor"
"Phyllastrephus flavostriatus";"Phyllastrephus flavostriatus";"PASSERIFORMES";"Pycnonotidae";"Yellow-streaked Greenbul";"Phyllastrephus flavostriatus"
"Camaroptera superciliaris";"Camaroptera superciliaris";"PASSERIFORMES";"Cisticolidae";"Yellow-browed Camaroptera";"Camaroptera superciliaris"
"Cyanoloxia glaucocaerulea";"Cyanoloxia glaucocaerulea";"PASSERIFORMES";"Cardinalidae";"Glaucous-blue Grosbeak";"Cyanoloxia glaucocaerulea"
"Eurylaimus steerii";"Sarcophanops steerii";"PASSERIFORMES";"Eurylaimidae";"Mindanao Wattled Broadbill";"Sarcophanops steerii"
"Eumyias panayensis";"Eumyias panayensis";"PASSERIFORMES";"Muscicapidae";"Turquoise Flycatcher";"Eumyias panayensis"
"Boissonneaua matthewsii";"Boissonneaua matthewsii";"CAPRIMULGIFORMES";"Trochilidae";"Chestnut-breasted Coronet";"Boissonneaua matthewsii"
"Haplospiza rustica";"Spodiornis rusticus";"PASSERIFORMES";"Thraupidae";"Slaty Finch";"Haplospiza rustica"
"Batis senegalensis";"Batis senegalensis";"PASSERIFORMES";"Platysteiridae";"Senegal Batis";"Batis senegalensis"
"Uraeginthus angolensis";"Uraeginthus angolensis";"PASSERIFORMES";"Estrildidae";"Blue-breasted Cordon-bleu";"Uraeginthus angolensis"
"Sturnus burmannicus";"Acridotheres burmannicus";"PASSERIFORMES";"Sturnidae";"Burmese Myna";"Acridotheres burmannicus"
"Gecinulus grantia";"Gecinulus grantia";"PICIFORMES";"Picidae";"Pale-headed Woodpecker";"Gecinulus grantia"
"Lophura swinhoii";"Lophura swinhoii";"GALLIFORMES";"Phasianidae";"Swinhoe's Pheasant";"Lophura swinhoii"
"Phaenicophaeus chlorophaeus";"Rhinortha chlorophaea";"CUCULIFORMES";"Cuculidae";"Raffles's Malkoha";"Rhinortha chlorophaea"
"Numenius phaeopus";"Numenius phaeopus";"CHARADRIIFORMES";"Scolopacidae";"Whimbrel";"Numenius phaeopus"
"Hyliota violacea";"Hyliota violacea";"PASSERIFORMES";"Hyliotidae";"Violet-backed Hyliota";"Hyliota violacea"
"Columba bollii";"Columba bollii";"COLUMBIFORMES";"Columbidae";"Dark-tailed Laurel-pigeon";"Columba bollii"
"Turdoides leucopygia";"Turdoides leucopygia";"PASSERIFORMES";"Leiothrichidae";"White-rumped Babbler";"Turdoides leucopygia"
"Glareola cinerea";"Glareola cinerea";"CHARADRIIFORMES";"Glareolidae";"Grey Pratincole";"Glareola cinerea"
"Geophaps scripta";"Geophaps scripta";"COLUMBIFORMES";"Columbidae";"Squatter Pigeon";"Geophaps scripta"
"Grallaria ruficapilla";"Grallaria ruficapilla";"PASSERIFORMES";"Grallariidae";"Chestnut-crowned Antpitta";"Grallaria ruficapilla"
"Cyclarhis nigrirostris";"Cyclarhis nigrirostris";"PASSERIFORMES";"Vireonidae";"Black-billed Peppershrike";"Cyclarhis nigrirostris"
"Myrmeciza hyperythra";"Myrmelastes hyperythrus";"PASSERIFORMES";"Thamnophilidae";"Plumbeous Antbird";"Myrmelastes hyperythrus"
"Tachycineta thalassina";"Tachycineta thalassina";"PASSERIFORMES";"Hirundinidae";"Violet-green Swallow";"Tachycineta thalassina"
"Pinaroloxias inornata";"Pinaroloxias inornata";"PASSERIFORMES";"Thraupidae";"Cocos Finch";"Pinaroloxias inornata"
"Anthus berthelotii";"Anthus berthelotii";"PASSERIFORMES";"Motacillidae";"Berthelot's Pipit";"Anthus berthelotii"
"Muscicapa olivascens";"Fraseria olivascens";"PASSERIFORMES";"Muscicapidae";"Olivaceous Flycatcher";"Fraseria olivascens"
"Sephanoides sephaniodes";"Sephanoides sephaniodes";"CAPRIMULGIFORMES";"Trochilidae";"Green-backed Firecrown";"Sephanoides sephaniodes"
"Turnix melanogaster";"Turnix melanogaster";"CHARADRIIFORMES";"Turnicidae";"Black-breasted Buttonquail";"Turnix melanogaster"
"Suiriri islerorum";"Guyramemua affinis";"PASSERIFORMES";"Tyrannidae";"Chapada Flycatcher";"Guyramemua affine"
"Gorsachius melanolophus";"Gorsachius melanolophus";"PELECANIFORMES";"Ardeidae";"Malay Night Heron";"Gorsachius melanolophus"
"Chlorophonia occipitalis";"Chlorophonia occipitalis";"PASSERIFORMES";"Fringillidae";"Blue-crowned Chlorophonia";"Chlorophonia occipitalis"
"Basileuterus flaveolus";"Myiothlypis flaveola";"PASSERIFORMES";"Parulidae";"Flavescent Warbler";"Myiothlypis flaveola"
"Caryothraustes poliogaster";"Caryothraustes poliogaster";"PASSERIFORMES";"Cardinalidae";"Black-faced Grosbeak";"Caryothraustes poliogaster"
"Apus barbatus";"Apus barbatus";"CAPRIMULGIFORMES";"Apodidae";"African Swift";"Apus barbatus"
"Pycnonotus blanfordi";"Pycnonotus blanfordi";"PASSERIFORMES";"Pycnonotidae";"Streak-eared Bulbul";"Pycnonotus blanfordi"
"Zoothera dauma";"Zoothera dauma";"PASSERIFORMES";"Turdidae";"Scaly Thrush";"Zoothera dauma"
"Grallaria squamigera";"Grallaria squamigera";"PASSERIFORMES";"Grallariidae";"Undulated Antpitta";"Grallaria squamigera"
"Myadestes palmeri";"Myadestes palmeri";"PASSERIFORMES";"Turdidae";"Puaiohi";"Myadestes palmeri"
"Chloropsis palawanensis";"Chloropsis palawanensis";"PASSERIFORMES";"Chloropseidae";"Yellow-throated Leafbird";"Chloropsis palawanensis"
"Porphyrio flavirostris";"Porphyrio flavirostris";"GRUIFORMES";"Rallidae";"Azure Gallinule";"Porphyrio flavirostris"
"Phylloscopus trochiloides";"Phylloscopus trochiloides";"PASSERIFORMES";"Phylloscopidae";"Greenish Warbler";"Phylloscopus trochiloides"
"Turdoides plebejus";"Turdoides plebejus";"PASSERIFORMES";"Leiothrichidae";"Brown Babbler";"Turdoides plebejus"
"Ducula rosacea";"Ducula rosacea";"COLUMBIFORMES";"Columbidae";"Pink-headed Imperial-pigeon";"Ducula rosacea"
"Haliaeetus sanfordi";"Haliaeetus sanfordi";"ACCIPITRIFORMES";"Accipitridae";"Sanford's Sea-eagle";"Icthyophaga sanfordi"
"Strix woodfordii";"Strix woodfordii";"STRIGIFORMES";"Strigidae";"African Wood-owl";"Strix woodfordii"
"Cephalopyrus flammiceps";"Cephalopyrus flammiceps";"PASSERIFORMES";"Paridae";"Fire-capped Tit";"Cephalopyrus flammiceps"
"Acrocephalus agricola";"Acrocephalus agricola";"PASSERIFORMES";"Acrocephalidae";"Paddyfield Warbler";"Acrocephalus agricola"
"Phoenicircus carnifex";"Phoenicircus carnifex";"PASSERIFORMES";"Cotingidae";"Guianan Red Cotinga";"Phoenicircus carnifex"
"Alophoixus phaeocephalus";"Alophoixus phaeocephalus";"PASSERIFORMES";"Pycnonotidae";"Yellow-bellied Bulbul";"Alophoixus phaeocephalus"
"Nectarinia fusca";"Cinnyris fuscus";"PASSERIFORMES";"Nectariniidae";"Dusky Sunbird";"Cinnyris fuscus"
"Ardeotis arabs";"Ardeotis arabs";"OTIDIFORMES";"Otididae";"Arabian Bustard";"Ardeotis arabs"
"Parotia helenae";"Parotia lawesii";"PASSERIFORMES";"Paradisaeidae";"Lawes's Parotia";"Parotia helenae"
"Brachypteryx montana";"Brachypteryx montana";"PASSERIFORMES";"Muscicapidae";"Javan Shortwing";"Brachypteryx montana"
"Laniarius ruficeps";"Laniarius ruficeps";"PASSERIFORMES";"Malaconotidae";"Red-naped Bushshrike";"Laniarius ruficeps"
"Bambusicola fytchii";"Bambusicola fytchii";"GALLIFORMES";"Phasianidae";"Mountain Bamboo-partridge";"Bambusicola fytchii"
"Turdus subalaris";"Turdus subalaris";"PASSERIFORMES";"Turdidae";"Eastern Slaty Thrush";"Turdus subalaris"
"Gyps rueppellii";"Gyps rueppelli";"ACCIPITRIFORMES";"Accipitridae";"Rüppell's Vulture";"Gyps rueppelli"
"Sturnus vulgaris";"Sturnus vulgaris";"PASSERIFORMES";"Sturnidae";"Common Starling";"Sturnus vulgaris"
"Lamprotornis ornatus";"Lamprotornis ornatus";"PASSERIFORMES";"Sturnidae";"Principe Starling";"Lamprotornis ornatus"
"Megadyptes antipodes";"Megadyptes antipodes";"SPHENISCIFORMES";"Spheniscidae";"Yellow-eyed Penguin";"Megadyptes antipodes"
"Canirallus kioloides";"Mentocrex kioloides";"GRUIFORMES";"Rallidae";"Madagascar Forest Rail";"Mentocrex kioloides"
"Accipiter rufiventris";"Accipiter rufiventris";"ACCIPITRIFORMES";"Accipitridae";"Rufous-breasted Sparrowhawk";"Accipiter rufiventris"
"Caprimulgus fossii";"Caprimulgus fossii";"CAPRIMULGIFORMES";"Caprimulgidae";"Mozambique Nightjar";"Caprimulgus fossii"
"Columba albitorques";"Columba albitorques";"COLUMBIFORMES";"Columbidae";"White-collared Pigeon";"Columba albitorques"
"Neopsittacus musschenbroekii";"Neopsittacus musschenbroekii";"PSITTACIFORMES";"Psittacidae";"Yellow-billed Lorikeet";"Neopsittacus musschenbroekii"
"Apalis binotata";"Apalis binotata";"PASSERIFORMES";"Cisticolidae";"Masked Apalis";"Apalis binotata"
"Serinus whytii";"Crithagra striolata";"PASSERIFORMES";"Fringillidae";"Streaky Seedeater";"Crithagra striolata"
"Hirundapus giganteus";"Hirundapus giganteus";"CAPRIMULGIFORMES";"Apodidae";"Brown-backed Needletail";"Hirundapus giganteus"
"Caprimulgus nubicus";"Caprimulgus nubicus";"CAPRIMULGIFORMES";"Caprimulgidae";"Nubian Nightjar";"Caprimulgus nubicus"
"Ampelioides tschudii";"Ampelioides tschudii";"PASSERIFORMES";"Cotingidae";"Scaled Fruiteater";"Ampelioides tschudii"
"Garrulax chinensis";"Pterorhinus chinensis";"PASSERIFORMES";"Leiothrichidae";"Black-throated Laughingthrush";"Pterorhinus chinensis"
"Meleagris gallopavo";"Meleagris gallopavo";"GALLIFORMES";"Phasianidae";"Wild Turkey";"Meleagris gallopavo"
"Pyrrhomyias cinnamomeus";"Pyrrhomyias cinnamomeus";"PASSERIFORMES";"Tyrannidae";"Cinnamon Flycatcher";"Pyrrhomyias cinnamomeus"
"Hypoedaleus guttatus";"Hypoedaleus guttatus";"PASSERIFORMES";"Thamnophilidae";"Spot-backed Antshrike";"Hypoedaleus guttatus"
"Bartramia longicauda";"Bartramia longicauda";"CHARADRIIFORMES";"Scolopacidae";"Upland Sandpiper";"Bartramia longicauda"
"Treron bicinctus";"Treron bicinctus";"COLUMBIFORMES";"Columbidae";"Orange-breasted Green-pigeon";"Treron bicinctus"
"Caprimulgus poliocephalus";"Caprimulgus poliocephalus";"CAPRIMULGIFORMES";"Caprimulgidae";"Montane Nightjar";"Caprimulgus poliocephalus"
"Threnetes leucurus";"Threnetes leucurus";"CAPRIMULGIFORMES";"Trochilidae";"Pale-tailed Barbthroat";"Threnetes leucurus"
"Sturnus contra";"Gracupica contra";"PASSERIFORMES";"Sturnidae";"Indian Pied Starling";"Gracupica contra"
"Dendrocopos syriacus";"Dendrocopos syriacus";"PICIFORMES";"Picidae";"Syrian Woodpecker";"Dendrocopos syriacus"
"Gyps indicus";"Gyps indicus";"ACCIPITRIFORMES";"Accipitridae";"Indian Vulture";"Gyps indicus"
"Blythipicus rubiginosus";"Blythipicus rubiginosus";"PICIFORMES";"Picidae";"Maroon Woodpecker";"Blythipicus rubiginosus"
"Calyptorhynchus latirostris";"Zanda latirostris";"PSITTACIFORMES";"Cacatuidae";"Carnaby's Black-cockatoo";"Zanda latirostris"
"Cisticola guinea";"Cisticola guinea";"PASSERIFORMES";"Cisticolidae";"Dorst's Cisticola";"Cisticola guinea"
"Myrmeciza longipes";"Myrmeciza longipes";"PASSERIFORMES";"Thamnophilidae";"White-bellied Antbird";"Myrmeciza longipes"
"Dendrocitta leucogastra";"Dendrocitta leucogastra";"PASSERIFORMES";"Corvidae";"White-bellied Treepie";"Dendrocitta leucogastra"
"Starnoenas cyanocephala";"Starnoenas cyanocephala";"COLUMBIFORMES";"Columbidae";"Blue-headed Quail-Dove";"Starnoenas cyanocephala"
"Emberiza fucata";"Emberiza fucata";"PASSERIFORMES";"Emberizidae";"Chestnut-eared Bunting";"Emberiza fucata"
"Asthenes huancavelicae";"Asthenes huancavelicae";"PASSERIFORMES";"Furnariidae";"Huancavelica Canastero";"Asthenes dorbignyi"
"Malacoptila fusca";"Malacoptila fusca";"PICIFORMES";"Bucconidae";"White-chested Puffbird";"Malacoptila fusca"
"Thlypopsis pectoralis";"Thlypopsis pectoralis";"PASSERIFORMES";"Thraupidae";"Brown-flanked Tanager";"Thlypopsis pectoralis"
"Coracina leucopygia";"Coracina leucopygia";"PASSERIFORMES";"Campephagidae";"White-rumped Cuckooshrike";"Coracina leucopygia"
"Melospiza georgiana";"Melospiza georgiana";"PASSERIFORMES";"Passerellidae";"Swamp Sparrow";"Melospiza georgiana"
"Geotrygon versicolor";"Geotrygon versicolor";"COLUMBIFORMES";"Columbidae";"Crested Quail-Dove";"Geotrygon versicolor"
"Illadopsis rufescens";"Illadopsis rufescens";"PASSERIFORMES";"Pellorneidae";"Rufous-winged Illadopsis";"Illadopsis rufescens"
"Tchagra tchagra";"Tchagra tchagra";"PASSERIFORMES";"Malaconotidae";"Southern Tchagra";"Tchagra tchagra"
"Alcippe nipalensis";"Alcippe nipalensis";"PASSERIFORMES";"Leiothrichidae";"Nepal Fulvetta";"Alcippe nipalensis"
"Ardeola grayii";"Ardeola grayii";"PELECANIFORMES";"Ardeidae";"Indian Pond Heron";"Ardeola grayii"
"Gallicolumba rubescens";"Pampusana rubescens";"COLUMBIFORMES";"Columbidae";"Marquesas Ground Dove";"Pampusana rubescens"
"Pterocles bicinctus";"Pterocles bicinctus";"PTEROCLIFORMES";"Pteroclidae";"Double-banded Sandgrouse";"Pterocles bicinctus"
"Rhipidura tenebrosa";"Rhipidura tenebrosa";"PASSERIFORMES";"Rhipiduridae";"Dusky Fantail";"Rhipidura tenebrosa"
"Synallaxis albescens";"Synallaxis albescens";"PASSERIFORMES";"Furnariidae";"Pale-breasted Spinetail";"Synallaxis albescens"
"Empidonax flavescens";"Empidonax flavescens";"PASSERIFORMES";"Tyrannidae";"Yellowish Flycatcher";"Empidonax flavescens"
"Phalacrocorax penicillatus";"Urile penicillatus";"SULIFORMES";"Phalacrocoracidae";"Brandt's Cormorant";"Urile penicillatus"
"Ptiloris magnificus";"Lophorina magnifica";"PASSERIFORMES";"Paradisaeidae";"Magnificent Riflebird";"Ptiloris magnificus"
"Charadrius sanctaehelenae";"Charadrius sanctaehelenae";"CHARADRIIFORMES";"Charadriidae";"Saint Helena Plover";"Anarhynchus sanctaehelenae"
"Schistocichla leucostigma";"Myrmelastes leucostigma";"PASSERIFORMES";"Thamnophilidae";"Spot-winged Antbird";"Myrmelastes leucostigma"
"Rallina tricolor";"Rallina tricolor";"GRUIFORMES";"Rallidae";"Red-necked Crake";"Rallina tricolor"
"Tinamotis pentlandii";"Tinamotis pentlandii";"STRUTHIONIFORMES";"Tinamidae";"Puna Tinamou";"Tinamotis pentlandii"
"Somateria mollissima";"Somateria mollissima";"ANSERIFORMES";"Anatidae";"Common Eider";"Somateria mollissima"
"Leptotila cassini";"Leptotila cassinii";"COLUMBIFORMES";"Columbidae";"Grey-chested Dove";"Leptotila cassinii"
"Lepidothrix suavissima";"Lepidothrix suavissima";"PASSERIFORMES";"Pipridae";"Orange-bellied Manakin";"Lepidothrix suavissima"
"Cranioleuca sulphurifera";"Limnoctites sulphuriferus";"PASSERIFORMES";"Furnariidae";"Sulphur-throated Spinetail";"Limnoctites sulphuriferus"
"Cypsiurus parvus";"Cypsiurus parvus";"CAPRIMULGIFORMES";"Apodidae";"African Palm Swift";"Cypsiurus parvus"
"Anthreptes gabonicus";"Anthreptes gabonicus";"PASSERIFORMES";"Nectariniidae";"Mouse-brown Sunbird";"Anthreptes gabonicus"
"Poicephalus robustus";"Poicephalus robustus";"PSITTACIFORMES";"Psittacidae";"Cape Parrot";"Poicephalus robustus"
"Paroreomyza maculata";"Paroreomyza maculata";"PASSERIFORMES";"Fringillidae";"Oahu Alauahio";"Paroreomyza maculata"
"Celeus brachyurus";"Micropternus brachyurus";"PICIFORMES";"Picidae";"Rufous Woodpecker";"Micropternus brachyurus"
"Actenoides hombroni";"Actenoides hombroni";"CORACIIFORMES";"Alcedinidae";"Blue-capped Kingfisher";"Actenoides hombroni"
